
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
粗暴犯,傷害,18145 ,18963 ,-818 ,-4.3 ,15585 ,16890 ,-1305 ,-7.7 ,85.9 ,89.1 ,-3.2 ,17525 ,18826 ,-1301 ,-6.9 ,1614 ,1748 ,-134 ,-7.7 ,
粗暴犯,傷害　うち）傷害致死,63 ,71 ,-8 ,-11.3 ,65 ,67 ,-2 ,-3.0 ,103.2 ,94.4 ,8.8 ,85 ,91 ,-6 ,-6.6 ,12 ,4 ,8 ,200.0 ,
粗暴犯,脅迫,3893 ,3778 ,115 ,3.0 ,3373 ,3299 ,74 ,2.2 ,86.6 ,87.3 ,-0.7 ,2964 ,2862 ,102 ,3.6 ,166 ,168 ,-2 ,-1.2 ,
粗暴犯,恐喝,1237 ,1446 ,-209 ,-14.5 ,1072 ,1256 ,-184 ,-14.6 ,86.7 ,86.9 ,-0.2 ,1230 ,1515 ,-285 ,-18.8 ,286 ,360 ,-74 ,-20.6 ,
窃盗犯,計,381769 ,417291 ,-35522 ,-8.5 ,161016 ,170687 ,-9671 ,-5.7 ,42.2 ,40.9 ,1.3 ,84360 ,88464 ,-4104 ,-4.6 ,7421 ,9222 ,-1801 ,-19.5 ,
窃盗犯,侵入盗,37240 ,44093 ,-6853 ,-15.5 ,28456 ,31836 ,-3380 ,-10.6 ,76.4 ,72.2 ,4.2 ,5167 ,5671 ,-504 ,-8.9 ,340 ,457 ,-117 ,-25.6 ,
窃盗犯,乗り物盗,119336 ,135025 ,-15689 ,-11.6 ,12353 ,14054 ,-1701 ,-12.1 ,10.4 ,10.4 ,0.0 ,5604 ,6982 ,-1378 ,-19.7 ,2214 ,2771 ,-557 ,-20.1 ,
窃盗犯,非侵入盗,225193 ,238173 ,-12980 ,-5.4 ,120207 ,124797 ,-4590 ,-3.7 ,53.4 ,52.4 ,1.0 ,73589 ,75811 ,-2222 ,-2.9 ,4867 ,5994 ,-1127 ,-18.8 ,
知能犯,計,36663 ,34065 ,2598 ,7.6 ,19154 ,18153 ,1001 ,5.5 ,52.2 ,53.3 ,-1.1 ,12483 ,10547 ,1936 ,18.4 ,923 ,731 ,192 ,26.3 ,
知能犯,詐欺,33353 ,30468 ,2885 ,9.5 ,16527 ,15270 ,1257 ,8.2 ,49.6 ,50.1 ,-0.5 ,10400 ,8326 ,2074 ,24.9 ,847 ,634 ,213 ,33.6 ,
知能犯,横領,1282 ,1388 ,-106 ,-7.6 ,1079 ,1220 ,-141 ,-11.6 ,84.2 ,87.9 ,-3.7 ,937 ,1081 ,-144 ,-13.3 ,16 ,14 ,2 ,14.3 ,
知能犯,偽造,1893 ,2090 ,-197 ,-9.4 ,1428 ,1558 ,-130 ,-8.3 ,75.4 ,74.5 ,0.9 ,991 ,1023 ,-32 ,-3.1 ,60 ,83 ,-23 ,-27.7 ,
知能犯,偽造　うち）通貨偽造,311 ,217 ,94 ,43.3 ,58 ,72 ,-14 ,-19.4 ,18.6 ,33.2 ,-14.6 ,44 ,33 ,11 ,33.3 ,1 ,5 ,-4 ,-80.0 ,
知能犯,偽造　うち）文書偽造,1337 ,1431 ,-94 ,-6.6 ,1165 ,1242 ,-77 ,-6.2 ,87.1 ,86.8 ,0.3 ,896 ,921 ,-25 ,-2.7 ,58 ,74 ,-16 ,-21.6 ,
知能犯,偽造　うち）支払用カード偽造,25 ,155 ,-130 ,-83.9 ,61 ,91 ,-30 ,-33.0 ,244.0 ,58.7 ,185.3 ,3 ,14 ,-11 ,-78.6 ,0 ,0 ,0 ,0.0 ,
知能犯,偽造　うち）有価証券偽造,165 ,235 ,-70 ,-29.8 ,89 ,108 ,-19 ,-17.6 ,53.9 ,46.0 ,7.9 ,26 ,37 ,-11 ,-29.7 ,0 ,1 ,-1 ,-100.0 ,
知能犯,汚職,72 ,57 ,15 ,26.3 ,69 ,47 ,22 ,46.8 ,95.8 ,82.5 ,13.3 ,95 ,54 ,41 ,75.9 ,0 ,0 ,0 ,0.0 ,
知能犯,汚職　うち）賄賂,47 ,32 ,15 ,46.9 ,52 ,24 ,28 ,116.7 ,110.6 ,75.0 ,35.6 ,79 ,38 ,41 ,107.9 ,0 ,0 ,0 ,0.0 ,
知能犯,あっせん利得処罰法,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,
知能犯,背任,63 ,62 ,1 ,1.6 ,51 ,58 ,-7 ,-12.1 ,81.0 ,93.5 ,-12.5 ,60 ,63 ,-3 ,-4.8 ,0 ,0 ,0 ,0.0 ,
風俗犯,計,7880 ,7723 ,157 ,2.0 ,6738 ,6549 ,189 ,2.9 ,85.5 ,84.8 ,0.7 ,5422 ,5202 ,220 ,4.2 ,469 ,400 ,69 ,17.3 ,
風俗犯,賭博,116 ,118 ,-2 ,-1.7 ,107 ,112 ,-5 ,-4.5 ,92.2 ,94.9 ,-2.7 ,504 ,495 ,9 ,1.8 ,3 ,2 ,1 ,50.0 ,
風俗犯,わいせつ,7764 ,7605 ,159 ,2.1 ,6631 ,6437 ,194 ,3.0 ,85.4 ,84.6 ,0.8 ,4918 ,4707 ,211 ,4.5 ,466 ,398 ,68 ,17.1 ,
風俗犯,わいせつ　うち）強制わいせつ,4283 ,4154 ,129 ,3.1 ,3868 ,3766 ,102 ,2.7 ,90.3 ,90.7 ,-0.4 ,2903 ,2760 ,143 ,5.2 ,266 ,258 ,8 ,3.1 ,
風俗犯,わいせつ　うち）公然わいせつ,2431 ,2463 ,-32 ,-1.3 ,1846 ,1784 ,62 ,3.5 ,75.9 ,72.4 ,3.5 ,1452 ,1379 ,73 ,5.3 ,139 ,83 ,56 ,67.5 ,
その他の刑法犯,計,87926 ,98879 ,-10953 ,-11.1 ,30279 ,33764 ,-3485 ,-10.3 ,34.4 ,34.1 ,0.3 ,22959 ,25970 ,-3011 ,-11.6 ,2780 ,3531 ,-751 ,-21.3 ,
その他の刑法犯,うち）占有離脱物横領,11746 ,14154 ,-2408 ,-17.0 ,9056 ,11558 ,-2502 ,-21.6 ,77.1 ,81.7 ,-4.6 ,8680 ,10992 ,-2312 ,-21.0 ,1051 ,1620 ,-569 ,-35.1 ,
その他の刑法犯,うち）公務執行妨害,2094 ,2118 ,-24 ,-1.1 ,2036 ,2072 ,-36 ,-1.7 ,97.2 ,97.8 ,-0.6 ,1597 ,1666 ,-69 ,-4.1 ,108 ,92 ,16 ,17.4 ,
その他の刑法犯,うち）住居侵入,9780 ,11021 ,-1241 ,-11.3 ,5678 ,6357 ,-679 ,-10.7 ,58.1 ,57.7 ,0.4 ,3425 ,3682 ,-257 ,-7.0 ,747 ,783 ,-36 ,-4.6 ,
その他の刑法犯,うち）逮捕監禁,271 ,265 ,6 ,2.3 ,252 ,257 ,-5 ,-1.9 ,93.0 ,97.0 ,-4.0 ,366 ,400 ,-34 ,-8.5 ,56 ,67 ,-11 ,-16.4 ,
その他の刑法犯,うち）略取誘拐・人身売買,389 ,337 ,52 ,15.4 ,365 ,335 ,30 ,9.0 ,93.8 ,99.4 ,-5.6 ,376 ,266 ,110 ,41.4 ,19 ,12 ,7 ,58.3 ,
その他の刑法犯,うち）盗品,733 ,875 ,-142 ,-16.2 ,714 ,812 ,-98 ,-12.1 ,97.4 ,92.8 ,4.6 ,607 ,709 ,-102 ,-14.4 ,213 ,272 ,-59 ,-21.7 ,
その他の刑法犯,うち）器物損壊等,56925 ,64089 ,-7164 ,-11.2 ,8463 ,8576 ,-113 ,-1.3 ,14.9 ,13.4 ,1.5 ,4563 ,4922 ,-359 ,-7.3 ,360 ,433 ,-73 ,-16.9 ,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
第２表,,,,窃盗　手口別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
,罪種,"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減ポイント,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),
窃盗総数,,381769 ,417291 ,-35522 ,-8.5 ,161016 ,170687 ,-9671 ,-5.7 ,42.2 ,40.9 ,1.3 ,84360 ,88464 ,-4104 ,-4.6 ,7421 ,9222 ,-1801 ,-19.5 ,
侵入盗,計,37240 ,44093 ,-6853 ,-15.5 ,28456 ,31836 ,-3380 ,-10.6 ,76.4 ,72.2 ,4.2 ,5167 ,5671 ,-504 ,-8.9 ,340 ,457 ,-117 ,-25.6 ,
侵入盗,空き巣,11166 ,13906 ,-2740 ,-19.7 ,7949 ,10329 ,-2380 ,-23.0 ,71.2 ,74.3 ,-3.1 ,1333 ,1555 ,-222 ,-14.3 ,92 ,125 ,-33 ,-26.4 ,
侵入盗,忍込み,5135 ,5937 ,-802 ,-13.5 ,4491 ,4024 ,467 ,11.6 ,87.5 ,67.8 ,19.7 ,360 ,405 ,-45 ,-11.1 ,27 ,36 ,-9 ,-25.0 ,
侵入盗,居空き,982 ,1187 ,-205 ,-17.3 ,715 ,698 ,17 ,2.4 ,72.8 ,58.8 ,14.0 ,201 ,224 ,-23 ,-10.3 ,17 ,13 ,4 ,30.8 ,
侵入盗,ＡＴＭ破り,16 ,7 ,9 ,128.6 ,9 ,4 ,5 ,125.0 ,56.3 ,57.1 ,-0.8 ,6 ,2 ,4 ,200.0 ,0 ,0 ,0 ,0.0 ,
侵入盗,金庫破り,681 ,908 ,-227 ,-25.0 ,503 ,641 ,-138 ,-21.5 ,73.9 ,70.6 ,3.3 ,198 ,243 ,-45 ,-18.5 ,11 ,21 ,-10 ,-47.6 ,
侵入盗,旅館荒し,152 ,149 ,3 ,2.0 ,120 ,120 ,0 ,0.0 ,78.9 ,80.5 ,-1.6 ,59 ,46 ,13 ,28.3 ,4 ,3 ,1 ,33.3 ,
侵入盗,官公署荒し,146 ,99 ,47 ,47.5 ,127 ,86 ,41 ,47.7 ,87.0 ,86.9 ,0.1 ,25 ,21 ,4 ,19.0 ,0 ,0 ,0 ,0.0 ,
侵入盗,学校荒し,397 ,464 ,-67 ,-14.4 ,283 ,389 ,-106 ,-27.2 ,71.3 ,83.8 ,-12.5 ,97 ,114 ,-17 ,-14.9 ,28 ,44 ,-16 ,-36.4 ,
侵入盗,病院荒し,295 ,462 ,-167 ,-36.1 ,384 ,235 ,149 ,63.4 ,130.2 ,50.9 ,79.3 ,38 ,45 ,-7 ,-15.6 ,0 ,0 ,0 ,0.0 ,
侵入盗,給油所荒し,70 ,99 ,-29 ,-29.3 ,37 ,85 ,-48 ,-56.5 ,52.9 ,85.9 ,-33.0 ,7 ,11 ,-4 ,-36.4 ,0 ,0 ,0 ,0.0 ,
侵入盗,事務所荒し,2931 ,3766 ,-835 ,-22.2 ,1956 ,2606 ,-650 ,-24.9 ,66.7 ,69.2 ,-2.5 ,459 ,513 ,-54 ,-10.5 ,20 ,43 ,-23 ,-53.5 ,
侵入盗,出店荒し,3958 ,5397 ,-1439 ,-26.7 ,3567 ,4029 ,-462 ,-11.5 ,90.1 ,74.7 ,15.4 ,660 ,730 ,-70 ,-9.6 ,43 ,53 ,-10 ,-18.9 ,
侵入盗,工場荒し,496 ,404 ,92 ,22.8 ,380 ,324 ,56 ,17.3 ,76.6 ,80.2 ,-3.6 ,114 ,98 ,16 ,16.3 ,3 ,2 ,1 ,50.0 ,
侵入盗,更衣室荒し,354 ,442 ,-88 ,-19.9 ,238 ,314 ,-76 ,-24.2 ,67.2 ,71.0 ,-3.8 ,96 ,124 ,-28 ,-22.6 ,20 ,23 ,-3 ,-13.0 ,
侵入盗,倉庫荒し,3594 ,3669 ,-75 ,-2.0 ,2564 ,2844 ,-280 ,-9.8 ,71.3 ,77.5 ,-6.2 ,649 ,637 ,12 ,1.9 ,32 ,43 ,-11 ,-25.6 ,
侵入盗,その他,6867 ,7197 ,-330 ,-4.6 ,5133 ,5108 ,25 ,0.5 ,74.7 ,71.0 ,3.7 ,865 ,903 ,-38 ,-4.2 ,43 ,51 ,-8 ,-15.7 ,
乗り物盗,計,119336 ,135025 ,-15689 ,-11.6 ,12353 ,14054 ,-1701 ,-12.1 ,10.4 ,10.4 ,0.0 ,5604 ,6982 ,-1378 ,-19.7 ,2214 ,2771 ,-557 ,-20.1 ,
乗り物盗,自動車盗,5182 ,5210 ,-28 ,-0.5 ,2556 ,3006 ,-450 ,-15.0 ,49.3 ,57.7 ,-8.4 ,634 ,666 ,-32 ,-4.8 ,67 ,89 ,-22 ,-24.7 ,
乗り物盗,オートバイ盗,7569 ,9018 ,-1449 ,-16.1 ,1289 ,1489 ,-200 ,-13.4 ,17.0 ,16.5 ,0.5 ,727 ,888 ,-161 ,-18.1 ,620 ,773 ,-153 ,-19.8 ,
乗り物盗,自転車盗,106585 ,120797 ,-14212 ,-11.8 ,8508 ,9559 ,-1051 ,-11.0 ,8.0 ,7.9 ,0.1 ,4243 ,5428 ,-1185 ,-21.8 ,1527 ,1909 ,-382 ,-20.0 ,
非侵入盗,計,225193 ,238173 ,-12980 ,-5.4 ,120207 ,124797 ,-4590 ,-3.7 ,53.4 ,52.4 ,1.0 ,73589 ,75811 ,-2222 ,-2.9 ,4867 ,5994 ,-1127 ,-18.8 ,
非侵入盗,職権盗,2228 ,2837 ,-609 ,-21.5 ,1805 ,2567 ,-762 ,-29.7 ,81.0 ,90.5 ,-9.5 ,541 ,689 ,-148 ,-21.5 ,87 ,166 ,-79 ,-47.6 ,
非侵入盗,慶弔盗,2 ,2 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,
非侵入盗,追出し盗,16 ,20 ,-4 ,-20.0 ,8 ,18 ,-10 ,-55.6 ,50.0 ,90.0 ,-40.0 ,8 ,15 ,-7 ,-46.7 ,3 ,8 ,-5 ,-62.5 ,
非侵入盗,買物盗,535 ,506 ,29 ,5.7 ,263 ,298 ,-35 ,-11.7 ,49.2 ,58.9 ,-9.7 ,158 ,184 ,-26 ,-14.1 ,32 ,41 ,-9 ,-22.0 ,
非侵入盗,訪問盗,966 ,1087 ,-121 ,-11.1 ,522 ,572 ,-50 ,-8.7 ,54.0 ,52.6 ,1.4 ,199 ,241 ,-42 ,-17.4 ,20 ,40 ,-20 ,-50.0 ,
非侵入盗,払出盗,8431 ,8970 ,-539 ,-6.0 ,8058 ,8083 ,-25 ,-0.3 ,95.6 ,90.1 ,5.5 ,322 ,295 ,27 ,9.2 ,34 ,46 ,-12 ,-26.1 ,
非侵入盗,ＡＴＭねらい,8 ,1 ,7 ,700.0 ,6 ,0 ,6 ,0.0 ,75.0 ,0.0 ,75.0 ,1 ,0 ,1 ,0.0 ,0 ,0 ,0 ,0.0 ,
非侵入盗,窓口ねらい,2 ,4 ,-2 ,-50.0 ,0 ,1 ,-1 ,-100.0 ,0.0 ,25.0 ,-25.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,
非侵入盗,途中ねらい,10 ,10 ,0 ,0.0 ,7 ,5 ,2 ,40.0 ,70.0 ,50.0 ,20.0 ,6 ,2 ,4 ,200.0 ,0 ,0 ,0 ,0.0 ,
非侵入盗,室内ねらい,379 ,503 ,-124 ,-24.7 ,119 ,93 ,26 ,28.0 ,31.4 ,18.5 ,12.9 ,16 ,20 ,-4 ,-20.0 ,0 ,4 ,-4 ,-100.0 ,
非侵入盗,客室ねらい,127 ,122 ,5 ,4.1 ,83 ,53 ,30 ,56.6 ,65.4 ,43.4 ,22.0 ,45 ,30 ,15 ,50.0 ,2 ,2 ,0 ,0.0 ,
非侵入盗,病室ねらい,276 ,373 ,-97 ,-26.0 ,98 ,247 ,-149 ,-60.3 ,35.5 ,66.2 ,-30.7 ,20 ,22 ,-2 ,-9.1 ,1 ,0 ,1 ,0.0 ,
非侵入盗,ひったくり,544 ,877 ,-333 ,-38.0 ,426 ,712 ,-286 ,-40.2 ,78.3 ,81.2 ,-2.9 ,206 ,248 ,-42 ,-16.9 ,50 ,79 ,-29 ,-36.7 ,
非侵入盗,すり,1110 ,1424 ,-314 ,-22.1 ,739 ,690 ,49 ,7.1 ,66.6 ,48.5 ,18.1 ,287 ,415 ,-128 ,-30.8 ,17 ,28 ,-11 ,-39.3 ,
非侵入盗,置引き,9614 ,12773 ,-3159 ,-24.7 ,3854 ,5082 ,-1228 ,-24.2 ,40.1 ,39.8 ,0.3 ,3129 ,3941 ,-812 ,-20.6 ,120 ,199 ,-79 ,-39.7 ,
非侵入盗,仮睡者ねらい,1755 ,2357 ,-602 ,-25.5 ,134 ,344 ,-210 ,-61.0 ,7.6 ,14.6 ,-7.0 ,73 ,130 ,-57 ,-43.8 ,8 ,31 ,-23 ,-74.2 ,
非侵入盗,車上ねらい,23282 ,27978 ,-4696 ,-16.8 ,8274 ,10300 ,-2026 ,-19.7 ,35.5 ,36.8 ,-1.3 ,1171 ,1300 ,-129 ,-9.9 ,80 ,110 ,-30 ,-27.3 ,
非侵入盗,部品ねらい,13047 ,13453 ,-406 ,-3.0 ,1639 ,2212 ,-573 ,-25.9 ,12.6 ,16.4 ,-3.8 ,434 ,497 ,-63 ,-12.7 ,197 ,248 ,-51 ,-20.6 ,
非侵入盗,脱衣場ねらい,1197 ,1321 ,-124 ,-9.4 ,581 ,220 ,361 ,164.1 ,48.5 ,16.7 ,31.8 ,102 ,96 ,6 ,6.3 ,8 ,9 ,-1 ,-11.1 ,
非侵入盗,自動販売機ねらい,3004 ,3321 ,-317 ,-9.5 ,2072 ,2846 ,-774 ,-27.2 ,69.0 ,85.7 ,-16.7 ,122 ,183 ,-61 ,-33.3 ,47 ,63 ,-16 ,-25.4 ,
非侵入盗,色情ねらい,6053 ,6428 ,-375 ,-5.8 ,2994 ,3323 ,-329 ,-9.9 ,49.5 ,51.7 ,-2.2 ,602 ,639 ,-37 ,-5.8 ,48 ,49 ,-1 ,-2.0 ,
非侵入盗,工事場ねらい,3648 ,3819 ,-171 ,-4.5 ,985 ,1064 ,-79 ,-7.4 ,27.0 ,27.9 ,-0.9 ,153 ,154 ,-1 ,-0.6 ,6 ,7 ,-1 ,-14.3 ,
非侵入盗,万引き,86237 ,87280 ,-1043 ,-1.2 ,63493 ,62609 ,884 ,1.4 ,73.6 ,71.7 ,1.9 ,50369 ,51622 ,-1253 ,-2.4 ,3442 ,4131 ,-689 ,-16.7 ,
非侵入盗,職場ねらい,6161 ,6670 ,-509 ,-7.6 ,2601 ,2710 ,-109 ,-4.0 ,42.2 ,40.6 ,1.6 ,1974 ,2008 ,-34 ,-1.7 ,217 ,273 ,-56 ,-20.5 ,
非侵入盗,同居ねらい,507 ,564 ,-57 ,-10.1 ,215 ,252 ,-37 ,-14.7 ,42.4 ,44.7 ,-2.3 ,181 ,186 ,-5 ,-2.7 ,15 ,18 ,-3 ,-16.7 ,
非侵入盗,さい銭ねらい,2814 ,3189 ,-375 ,-11.8 ,2037 ,2005 ,32 ,1.6 ,72.4 ,62.9 ,9.5 ,522 ,485 ,37 ,7.6 ,14 ,23 ,-9 ,-39.1 ,
非侵入盗,その他,53240 ,52284 ,956 ,1.8 ,19194 ,18491 ,703 ,3.8 ,36.1 ,35.4 ,0.7 ,12948 ,12409 ,539 ,4.3 ,419 ,419 ,0 ,0.0 ,
,,,,,,,,,,,,,,,,,,,,,
第３表,,,刑法犯総数　都道府県別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,568104 ,614231 ,-46127 ,-7.5 ,264485 ,279185 ,-14700 ,-5.3 ,175041 ,182582 ,-7541 ,-4.1 ,46.6 ,45.5 ,1.1 
北海道,計,18429 ,18467 ,-38 ,-0.2 ,10397 ,10035 ,362 ,3.6 ,7556 ,7077 ,479 ,6.8 ,56.4 ,54.3 ,2.1 
北海道,札幌方面,12893 ,12819 ,74 ,0.6 ,7016 ,6693 ,323 ,4.8 ,4915 ,4635 ,280 ,6.0 ,54.4 ,52.2 ,2.2 
北海道,函館方面,1470 ,1367 ,103 ,7.5 ,796 ,823 ,-27 ,-3.3 ,644 ,568 ,76 ,13.4 ,54.1 ,60.2 ,-6.1 
北海道,旭川方面,1710 ,1838 ,-128 ,-7.0 ,950 ,1105 ,-155 ,-14.0 ,819 ,835 ,-16 ,-1.9 ,55.6 ,60.1 ,-4.5 
北海道,釧路方面,1672 ,1822 ,-150 ,-8.2 ,1170 ,1024 ,146 ,14.3 ,832 ,717 ,115 ,16.0 ,70.0 ,56.2 ,13.8 
北海道,北見方面,684 ,621 ,63 ,10.1 ,465 ,390 ,75 ,19.2 ,346 ,322 ,24 ,7.5 ,68.0 ,62.8 ,5.2 
東北,計,26636 ,29277 ,-2641 ,-9.0 ,15313 ,17136 ,-1823 ,-10.6 ,9331 ,9978 ,-647 ,-6.5 ,57.5 ,58.5 ,-1.0 
東北,青森県,3067 ,3409 ,-342 ,-10.0 ,1966 ,2216 ,-250 ,-11.3 ,1264 ,1416 ,-152 ,-10.7 ,64.1 ,65.0 ,-0.9 
東北,岩手県,2507 ,2553 ,-46 ,-1.8 ,1634 ,1521 ,113 ,7.4 ,1057 ,1064 ,-7 ,-0.7 ,65.2 ,59.6 ,5.6 
東北,宮城県,9398 ,10193 ,-795 ,-7.8 ,4402 ,5090 ,-688 ,-13.5 ,2602 ,2872 ,-270 ,-9.4 ,46.8 ,49.9 ,-3.1 
東北,秋田県,1984 ,2382 ,-398 ,-16.7 ,1486 ,1638 ,-152 ,-9.3 ,1002 ,1007 ,-5 ,-0.5 ,74.9 ,68.8 ,6.1 
東北,山形県,3053 ,3085 ,-32 ,-1.0 ,2502 ,2587 ,-85 ,-3.3 ,1402 ,1505 ,-103 ,-6.8 ,82.0 ,83.9 ,-1.9 
東北,福島県,6627 ,7655 ,-1028 ,-13.4 ,3323 ,4084 ,-761 ,-18.6 ,2004 ,2114 ,-110 ,-5.2 ,50.1 ,53.4 ,-3.3 
東京都,,75288 ,82764 ,-7476 ,-9.0 ,30950 ,33521 ,-2571 ,-7.7 ,21026 ,23271 ,-2245 ,-9.6 ,41.1 ,40.5 ,0.6 
関東,計,169332 ,183739 ,-14407 ,-7.8 ,78176 ,83154 ,-4978 ,-6.0 ,47465 ,50090 ,-2625 ,-5.2 ,46.2 ,45.3 ,0.9 
関東,茨城県,14277 ,16301 ,-2024 ,-12.4 ,5833 ,6182 ,-349 ,-5.6 ,3107 ,3311 ,-204 ,-6.2 ,40.9 ,37.9 ,3.0 
関東,栃木県,9027 ,9059 ,-32 ,-0.4 ,3845 ,4787 ,-942 ,-19.7 ,1975 ,2054 ,-79 ,-3.8 ,42.6 ,52.8 ,-10.2 
関東,群馬県,9079 ,9965 ,-886 ,-8.9 ,5121 ,5465 ,-344 ,-6.3 ,3036 ,3151 ,-115 ,-3.6 ,56.4 ,54.8 ,1.6 
関東,埼玉県,40166 ,44485 ,-4319 ,-9.7 ,15902 ,17754 ,-1852 ,-10.4 ,10324 ,11253 ,-929 ,-8.3 ,39.6 ,39.9 ,-0.3 
関東,千葉県,32638 ,34685 ,-2047 ,-5.9 ,12359 ,12660 ,-301 ,-2.4 ,7663 ,7868 ,-205 ,-2.6 ,37.9 ,36.5 ,1.4 
